batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
64,150,0.0001,adam,150,0.766,0.6431,0.6216,0.7986
64,50,0.0005,rmsprop,50,0.7688,0.643,0.6262,0.7883
128,50,0.0005,rmsprop,50,0.766,0.6395,0.6194,0.8069
128,100,0.001,rmsprop,67,0.766,0.6385,0.6256,0.7803
128,150,0.001,rmsprop,67,0.766,0.6385,0.6256,0.7803
32,50,0.0005,adam,50,0.7632,0.6377,0.6217,0.7787
32,100,0.0005,adam,57,0.7632,0.6377,0.6217,0.7787
32,150,0.0005,adam,57,0.7632,0.6377,0.6217,0.7787
32,150,0.0005,sgd,150,0.7632,0.6373,0.6134,0.8125
64,50,0.001,adam,40,0.7632,0.6353,0.6175,0.7809
64,100,0.001,adam,40,0.7632,0.6353,0.6175,0.7809
64,150,0.001,adam,40,0.7632,0.6353,0.6175,0.7809
128,50,0.001,adam,50,0.766,0.6352,0.623,0.7809
32,50,0.001,adam,38,0.7604,0.635,0.6192,0.7779
32,100,0.001,adam,38,0.7604,0.635,0.6192,0.7779
32,150,0.001,adam,38,0.7604,0.635,0.6192,0.7779
64,50,0.001,rmsprop,50,0.7549,0.6349,0.617,0.7882
64,100,0.001,rmsprop,53,0.7549,0.6349,0.617,0.7882
64,150,0.001,rmsprop,53,0.7549,0.6349,0.617,0.7882
128,50,0.0005,adam,50,0.7604,0.6344,0.6128,0.8093
64,100,0.0005,rmsprop,68,0.7604,0.6336,0.6167,0.7868
64,150,0.0005,rmsprop,68,0.7604,0.6336,0.6167,0.7868
64,150,0.001,sgd,150,0.7604,0.6334,0.6104,0.8097
32,150,0.0001,rmsprop,150,0.7632,0.6321,0.6161,0.8003
128,50,0.001,rmsprop,50,0.7604,0.632,0.6192,0.7849
32,50,0.0005,rmsprop,50,0.7577,0.632,0.6156,0.7926
32,100,0.0005,rmsprop,56,0.7577,0.632,0.6156,0.7926
32,150,0.0005,rmsprop,56,0.7577,0.632,0.6156,0.7926
32,100,0.001,sgd,100,0.766,0.6265,0.6116,0.797
32,150,0.001,sgd,150,0.7577,0.6254,0.6096,0.7787
64,150,0.0001,rmsprop,150,0.7549,0.6252,0.6026,0.8052
32,100,0.0001,rmsprop,100,0.7577,0.6244,0.6034,0.8107
128,100,0.001,adam,67,0.7604,0.6233,0.6112,0.779
128,150,0.001,adam,67,0.7604,0.6233,0.6112,0.779
32,50,0.001,rmsprop,32,0.7409,0.6206,0.6069,0.8064
32,100,0.001,rmsprop,32,0.7409,0.6206,0.6069,0.8064
32,150,0.001,rmsprop,32,0.7409,0.6206,0.6069,0.8064
32,100,0.0001,adam,100,0.7577,0.6204,0.602,0.8008
32,150,0.0001,adam,150,0.7577,0.6156,0.6043,0.7845
64,100,0.0005,adam,67,0.7521,0.6149,0.6019,0.7765
64,150,0.0005,adam,67,0.7521,0.6149,0.6019,0.7765
128,100,0.0005,adam,100,0.7521,0.6149,0.6019,0.783
128,150,0.0005,adam,123,0.7549,0.6137,0.6035,0.7827
128,100,0.0005,rmsprop,100,0.7493,0.6075,0.5974,0.7843
128,150,0.0005,rmsprop,106,0.7493,0.6075,0.5974,0.7843
128,150,0.0001,rmsprop,150,0.7437,0.6029,0.5837,0.8248
64,50,0.0005,adam,50,0.7465,0.6014,0.5917,0.7798
32,50,0.0001,adam,50,0.7465,0.6005,0.5782,0.8265
64,100,0.0001,rmsprop,100,0.7437,0.5994,0.5798,0.8225
64,100,0.0001,adam,100,0.7409,0.5946,0.573,0.8181
32,50,0.001,sgd,50,0.7465,0.5942,0.577,0.8259
64,100,0.001,sgd,100,0.7409,0.5885,0.5711,0.826
32,100,0.0005,sgd,100,0.7409,0.5866,0.5688,0.8244
32,50,0.0001,rmsprop,50,0.7409,0.5827,0.568,0.831
128,150,0.0001,adam,150,0.7298,0.5822,0.5622,0.8239
64,150,0.0005,sgd,150,0.7242,0.5565,0.544,0.8311
128,100,0.0001,rmsprop,100,0.7326,0.5501,0.5421,0.8393
128,150,0.001,sgd,150,0.7214,0.5473,0.5369,0.8346
128,100,0.0001,adam,100,0.7214,0.5381,0.5294,0.8393
64,100,0.0005,sgd,100,0.7187,0.5157,0.5166,0.8436
64,50,0.0001,adam,50,0.7187,0.5145,0.5144,0.8441
64,50,0.0001,rmsprop,50,0.7159,0.5118,0.5109,0.8465
64,50,0.001,sgd,50,0.7159,0.5109,0.5116,0.8425
128,100,0.001,sgd,100,0.7159,0.5088,0.5099,0.8448
32,50,0.0005,sgd,50,0.7103,0.5053,0.5065,0.8445
128,150,0.0005,sgd,150,0.6964,0.484,0.4854,0.8601
32,150,0.0001,sgd,150,0.688,0.4676,0.4657,0.8833
128,100,0.0005,sgd,100,0.6713,0.4451,0.4468,0.9027
64,50,0.0005,sgd,50,0.6741,0.4441,0.444,0.9052
128,50,0.0001,rmsprop,50,0.663,0.4366,0.4349,0.9095
128,50,0.0001,adam,50,0.6602,0.4301,0.432,0.9134
128,50,0.001,sgd,50,0.6657,0.4143,0.4293,0.9051
32,100,0.0001,sgd,100,0.6407,0.3797,0.3878,0.944
64,150,0.0001,sgd,150,0.6184,0.3445,0.3545,0.9947
128,50,0.0005,sgd,50,0.5961,0.2985,0.3195,1.0287
64,100,0.0001,sgd,100,0.5627,0.2566,0.2744,1.0765
32,50,0.0001,sgd,50,0.5543,0.2468,0.2643,1.0804
128,150,0.0001,sgd,150,0.532,0.2,0.2342,1.1281
128,100,0.0001,sgd,100,0.5125,0.1487,0.2066,1.2044
128,50,0.0001,sgd,50,0.5097,0.142,0.2032,1.3247
64,50,0.0001,sgd,50,0.5097,0.1416,0.2032,1.2083
