clase,precision,recall,f1-score,support
0,0.8571428571428571,0.375,0.5217391304347826,16.0
1,0.8,0.7804878048780488,0.7901234567901234,41.0
2,0.7818181818181819,0.7413793103448276,0.7610619469026548,58.0
3,0.7647058823529411,0.8387096774193549,0.8,62.0
4,0.9312169312169312,0.967032967032967,0.9487870619946092,182.0
accuracy,0.8607242339832869,0.8607242339832869,0.8607242339832869,0.8607242339832869
macro avg,0.8269767705061822,0.7405219519350397,0.7643423192244341,359.0
weighted avg,0.8600361739473652,0.8607242339832869,0.8556092646761126,359.0
