clase,precision,recall,f1-score,support
0,0.875,0.4375,0.5833333333333334,16.0
1,0.9473684210526315,0.8780487804878049,0.9113924050632911,41.0
2,0.9,0.9310344827586207,0.9152542372881356,58.0
3,0.8939393939393939,0.9516129032258065,0.921875,62.0
4,0.9572192513368984,0.9835164835164835,0.9701897018970189,182.0
accuracy,0.9331476323119777,0.9331476323119777,0.9331476323119777,0.9331476323119777
macro avg,0.9147054132657848,0.8363425299977431,0.8604089355163559,359.0
weighted avg,0.9322569677735817,0.9331476323119777,0.9290137700526395,359.0
