modelo,mejor_configuracion,exactitud,precision_macro,sensibilidad_macro,puntaje_f1_macro
MLP principal,"{'batch_size': 32, 'epochs': 50, 'learning_rate': 0.0001, 'optimizer': 'adam'}",0.8607,0.827,0.7405,0.7643
Random Forest,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}",0.9331,0.9147,0.8363,0.8604
