batch_size,dropout,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
64,0.1,100,0.0005,adam,24,0.7521,0.6188,0.6062,0.7346
64,0.1,150,0.0005,adam,24,0.7521,0.6188,0.6062,0.7346
128,0.2,150,0.0001,rmsprop,149,0.7465,0.6187,0.6077,0.7383
32,0.3,150,0.0001,rmsprop,127,0.7493,0.6181,0.6081,0.7407
64,0.2,50,0.001,adam,31,0.7493,0.6181,0.6026,0.7212
64,0.2,100,0.001,adam,31,0.7493,0.6181,0.6026,0.7212
64,0.2,150,0.001,adam,31,0.7493,0.6181,0.6026,0.7212
64,0.1,50,0.0001,adam,50,0.7493,0.6176,0.6044,0.7469
64,0.2,100,0.0001,rmsprop,100,0.7465,0.6174,0.6061,0.736
32,0.1,50,0.0005,rmsprop,22,0.7382,0.6174,0.6097,0.784
32,0.1,100,0.0005,rmsprop,22,0.7382,0.6174,0.6097,0.784
32,0.1,150,0.0005,rmsprop,22,0.7382,0.6174,0.6097,0.784
128,0.2,50,0.001,adam,34,0.7521,0.6168,0.6083,0.7332
128,0.2,100,0.001,adam,34,0.7521,0.6168,0.6083,0.7332
128,0.2,150,0.001,adam,34,0.7521,0.6168,0.6083,0.7332
64,0.1,50,0.0001,rmsprop,50,0.7465,0.6168,0.6056,0.7482
64,0.3,150,0.0001,adam,150,0.7549,0.6167,0.6086,0.7312
128,0.1,50,0.0005,adam,36,0.7465,0.6167,0.6053,0.75
128,0.1,100,0.0005,adam,36,0.7465,0.6167,0.6053,0.75
128,0.1,150,0.0005,adam,36,0.7465,0.6167,0.6053,0.75
64,0.2,50,0.0005,rmsprop,50,0.7465,0.615,0.6052,0.7371
64,0.2,100,0.0005,rmsprop,60,0.7465,0.615,0.6052,0.7371
64,0.2,150,0.0005,rmsprop,60,0.7465,0.615,0.6052,0.7371
128,0.2,150,0.0001,adam,132,0.7465,0.6148,0.603,0.7401
64,0.1,50,0.0005,rmsprop,26,0.7549,0.6147,0.6072,0.7487
64,0.1,100,0.0005,rmsprop,26,0.7549,0.6147,0.6072,0.7487
64,0.1,150,0.0005,rmsprop,26,0.7549,0.6147,0.6072,0.7487
128,0.3,50,0.001,rmsprop,42,0.7493,0.6145,0.6035,0.7427
128,0.3,100,0.001,rmsprop,42,0.7493,0.6145,0.6035,0.7427
128,0.3,150,0.001,rmsprop,42,0.7493,0.6145,0.6035,0.7427
128,0.1,100,0.0001,rmsprop,100,0.7437,0.6139,0.6022,0.7499
128,0.1,150,0.0001,rmsprop,101,0.7437,0.6139,0.6022,0.7499
64,0.1,100,0.001,sgd,99,0.7632,0.6136,0.6039,0.7515
64,0.1,150,0.001,sgd,99,0.7632,0.6136,0.6039,0.7515
32,0.3,50,0.0005,adam,42,0.7493,0.6136,0.6038,0.7368
32,0.3,100,0.0005,adam,42,0.7493,0.6136,0.6038,0.7368
32,0.3,150,0.0005,adam,42,0.7493,0.6136,0.6038,0.7368
128,0.1,100,0.0001,adam,77,0.7437,0.6136,0.602,0.7531
128,0.1,150,0.0001,adam,77,0.7437,0.6136,0.602,0.7531
32,0.2,100,0.0001,rmsprop,97,0.7521,0.6125,0.6087,0.7384
32,0.2,150,0.0001,rmsprop,97,0.7521,0.6125,0.6087,0.7384
32,0.1,150,0.0005,sgd,119,0.7577,0.6103,0.5993,0.7436
64,0.1,50,0.001,rmsprop,26,0.7437,0.6096,0.6024,0.7989
64,0.1,100,0.001,rmsprop,26,0.7437,0.6096,0.6024,0.7989
64,0.1,150,0.001,rmsprop,26,0.7437,0.6096,0.6024,0.7989
128,0.2,100,0.0001,adam,100,0.7493,0.6083,0.6007,0.7479
128,0.2,100,0.0001,rmsprop,100,0.7465,0.608,0.6007,0.7515
64,0.2,50,0.0005,adam,40,0.7437,0.6073,0.5987,0.7274
64,0.2,100,0.0005,adam,40,0.7437,0.6073,0.5987,0.7274
64,0.2,150,0.0005,adam,40,0.7437,0.6073,0.5987,0.7274
32,0.2,50,0.0005,adam,28,0.7409,0.6065,0.5928,0.7342
32,0.2,100,0.0005,adam,28,0.7409,0.6065,0.5928,0.7342
32,0.2,150,0.0005,adam,28,0.7409,0.6065,0.5928,0.7342
64,0.2,50,0.001,rmsprop,29,0.7493,0.6064,0.6002,0.7457
64,0.2,100,0.001,rmsprop,29,0.7493,0.6064,0.6002,0.7457
64,0.2,150,0.001,rmsprop,29,0.7493,0.6064,0.6002,0.7457
32,0.2,50,0.001,adam,27,0.7409,0.6062,0.6027,0.7758
32,0.2,100,0.001,adam,27,0.7409,0.6062,0.6027,0.7758
32,0.2,150,0.001,adam,27,0.7409,0.6062,0.6027,0.7758
32,0.2,100,0.0001,adam,97,0.7437,0.606,0.6005,0.7342
32,0.2,150,0.0001,adam,97,0.7437,0.606,0.6005,0.7342
64,0.4,100,0.0005,rmsprop,99,0.7465,0.6055,0.5971,0.7675
64,0.4,150,0.0005,rmsprop,99,0.7465,0.6055,0.5971,0.7675
64,0.2,150,0.0001,rmsprop,123,0.7409,0.605,0.5974,0.7341
128,0.3,50,0.001,adam,43,0.7521,0.6042,0.5953,0.7299
128,0.3,100,0.001,adam,43,0.7521,0.6042,0.5953,0.7299
128,0.3,150,0.001,adam,43,0.7521,0.6042,0.5953,0.7299
64,0.4,50,0.001,rmsprop,50,0.7465,0.6038,0.5969,0.7714
64,0.4,100,0.001,rmsprop,61,0.7465,0.6038,0.5969,0.7714
64,0.4,150,0.001,rmsprop,61,0.7465,0.6038,0.5969,0.7714
128,0.1,50,0.0001,adam,50,0.7382,0.6032,0.5899,0.7558
64,0.2,100,0.0001,adam,100,0.7409,0.6025,0.5954,0.737
64,0.2,150,0.0001,adam,115,0.7409,0.6025,0.5954,0.737
64,0.3,50,0.001,rmsprop,46,0.7354,0.6022,0.5977,0.7582
64,0.3,100,0.001,rmsprop,46,0.7354,0.6022,0.5977,0.7582
64,0.3,150,0.001,rmsprop,46,0.7354,0.6022,0.5977,0.7582
64,0.1,50,0.001,adam,23,0.7493,0.6015,0.595,0.7494
64,0.1,100,0.001,adam,23,0.7493,0.6015,0.595,0.7494
64,0.1,150,0.001,adam,23,0.7493,0.6015,0.595,0.7494
128,0.3,50,0.0005,adam,50,0.7437,0.5997,0.5933,0.7235
128,0.3,100,0.0005,adam,65,0.7437,0.5997,0.5933,0.7235
128,0.3,150,0.0005,adam,65,0.7437,0.5997,0.5933,0.7235
32,0.3,50,0.001,adam,32,0.7409,0.5994,0.5975,0.7477
32,0.3,100,0.001,adam,32,0.7409,0.5994,0.5975,0.7477
32,0.3,150,0.001,adam,32,0.7409,0.5994,0.5975,0.7477
128,0.1,50,0.001,rmsprop,26,0.7298,0.5986,0.5982,0.7876
128,0.1,100,0.001,rmsprop,26,0.7298,0.5986,0.5982,0.7876
128,0.1,150,0.001,rmsprop,26,0.7298,0.5986,0.5982,0.7876
128,0.1,50,0.001,adam,24,0.7409,0.598,0.5858,0.7459
128,0.1,100,0.001,adam,24,0.7409,0.598,0.5858,0.7459
128,0.1,150,0.001,adam,24,0.7409,0.598,0.5858,0.7459
128,0.4,50,0.001,rmsprop,50,0.7354,0.598,0.5864,0.7746
32,0.1,50,0.001,adam,24,0.7159,0.5961,0.5943,0.8002
32,0.1,100,0.001,adam,24,0.7159,0.5961,0.5943,0.8002
32,0.1,150,0.001,adam,24,0.7159,0.5961,0.5943,0.8002
128,0.2,50,0.0005,rmsprop,42,0.7465,0.5954,0.5874,0.7371
128,0.2,100,0.0005,rmsprop,42,0.7465,0.5954,0.5874,0.7371
128,0.2,150,0.0005,rmsprop,42,0.7465,0.5954,0.5874,0.7371
32,0.1,50,0.0001,adam,50,0.7354,0.5949,0.5871,0.7434
32,0.1,100,0.0001,adam,54,0.7354,0.5949,0.5871,0.7434
32,0.1,150,0.0001,adam,54,0.7354,0.5949,0.5871,0.7434
64,0.3,50,0.0005,rmsprop,50,0.7326,0.5947,0.5882,0.7453
64,0.3,100,0.0005,rmsprop,60,0.7326,0.5947,0.5882,0.7453
64,0.3,150,0.0005,rmsprop,60,0.7326,0.5947,0.5882,0.7453
64,0.3,100,0.0001,adam,100,0.7521,0.5941,0.5878,0.756
32,0.3,50,0.001,rmsprop,28,0.7354,0.5915,0.5903,0.7736
32,0.3,100,0.001,rmsprop,28,0.7354,0.5915,0.5903,0.7736
32,0.3,150,0.001,rmsprop,28,0.7354,0.5915,0.5903,0.7736
64,0.1,100,0.0001,adam,73,0.7326,0.5877,0.5816,0.7453
64,0.1,150,0.0001,adam,73,0.7326,0.5877,0.5816,0.7453
128,0.3,150,0.0001,rmsprop,150,0.7549,0.5859,0.585,0.7613
128,0.1,50,0.0001,rmsprop,50,0.7521,0.5839,0.5812,0.7584
32,0.2,50,0.001,sgd,50,0.766,0.5808,0.5842,0.7721
32,0.3,50,0.0005,rmsprop,37,0.7298,0.5797,0.5754,0.7636
32,0.3,100,0.0005,rmsprop,37,0.7298,0.5797,0.5754,0.7636
32,0.3,150,0.0005,rmsprop,37,0.7298,0.5797,0.5754,0.7636
64,0.4,100,0.0005,adam,89,0.7604,0.5789,0.5828,0.7429
64,0.4,150,0.0005,adam,89,0.7604,0.5789,0.5828,0.7429
64,0.2,150,0.001,sgd,150,0.7632,0.5785,0.5849,0.761
32,0.2,100,0.0005,sgd,100,0.7632,0.5775,0.5827,0.7735
64,0.1,150,0.0005,sgd,150,0.7604,0.5756,0.582,0.7579
128,0.1,100,0.001,sgd,100,0.7604,0.5747,0.5805,0.7787
64,0.2,50,0.0001,rmsprop,50,0.7577,0.5723,0.5789,0.7647
32,0.1,50,0.0005,sgd,50,0.7604,0.5709,0.5738,0.7784
64,0.2,100,0.001,sgd,100,0.7577,0.5707,0.5766,0.7778
32,0.3,100,0.001,sgd,100,0.7549,0.5677,0.5691,0.7821
32,0.2,50,0.001,rmsprop,25,0.7409,0.5658,0.5783,0.7746
